ISSN,Título,Estrato
0175-7598,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,A2
1559-128X,APPLIED OPTICS,A3
0003-6951,APPLIED PHYSICS LETTERS,A2
1871-2584,APPLIED RESEARCH IN QUALITY-OF-LIFE (PRINT),A1
2076-3417,APPLIED SCIENCES,C
0003-7028,APPLIED SPECTROSCOPY,A2
0169-4332,APPLIED SURFACE SCIENCE,A1
2571-5577,APPLIED SYSTEM INNOVATION,C
0044-8486,AQUACULTURE (AMSTERDAM),A1
2358-2472,ARACÊ - DIREITOS HUMANOS EM REVISTA,B1
2640-7957,ARCHIVES OF ANATOMY AND PHYSIOLOGY,B4
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT),A2
1806-938X,ARCHIVES OF CLINICAL PSYCHIATRY (SÃO PAULO),B4
1134-3060,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,A1
2454-7077,ARCHIVES OF CURRENT RESEARCH INTERNATIONAL,B2
1432-069X,ARCHIVES OF DERMATOLOGICAL RESEARCH,A3
0340-3696,ARCHIVES OF DERMATOLOGICAL RESEARCH (PRINT),A3
2359-3997,ARCHIVES OF ENDOCRINOLOGY AND METABOLISM,B2
2577-2252,ARCHIVES OF EPIDEMIOLOGY,B4
0167-4943,ARCHIVES OF GERONTOLOGY AND GERIATRICS,A1
2675-4711,ARCHIVES OF HEALTH,B3
2317-3009,ARCHIVES OF HEALTH INVESTIGATION,B3
0302-8933,ARCHIVES OF MICROBIOLOGY,A3
2689-8772,ARCHIVES OF ORAL AND MAXILLOFACIAL SURGERY,C
0003-9969,ARCHIVES OF ORAL BIOLOGY,A1
1879-1506,ARCHIVES OF ORAL BIOLOGY,A1
2639-992X,ARCHIVES OF PHARMACY AND PHARMACEUTICAL SCIENCES,C
1381-3455,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,A2
2590-1095,ARCHIVES OF REHABILITATION RESEARCH AND CLINICAL TRANSLATION,A3
0340-5761,ARCHIVES OF TOXICOLOGY,A1
1432-0738,ARCHIVES OF TOXICOLOGY,A1
0212-8799,ARCHIVOS DE MEDICINA DEL DEPORTE,B1
1678-4162,ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA (ONLINE),B1
1808-2998,ARQUIVO BRASILEIRO DE ODONTOLOGIA (ARQ. BRAS. ODONTOL.),B4
2178-0595,ARQUIVO BRASILEIRO DE ODONTOLOGIA (ON LINE),B4
0066-782X,ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO),A2
0004-2749,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA (IMPRESSO),A4
1982-114X,ARQUIVOS DE CIÊNCIAS DA SAÚDE DA UNIPAR,B1
1678-4227,ARQUIVOS DE NEURO-PSIQUIATRIA,B2
0004-282X,ARQUIVOS DE NEURO-PSIQUIATRIA (IMPRESSO),B2
